learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,val_mse,best_n_estimators,selected,security,horizon,fold,regime,scheme
0.05,3,0.8,0.8,10.0,5,0.004794659366874087,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,0.8,1.0,1.0,1,0.004832390637337366,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,0.8,1.0,1.0,5,0.004846989449931539,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,0.8,1.0,5.0,1,0.00481335543814084,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,0.8,1.0,5.0,5,0.00481335543814084,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,0.8,1.0,10.0,1,0.004794659366874087,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,0.8,1.0,10.0,5,0.004794659366874087,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,1.0,0.8,1.0,1,0.004827521157580994,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,1.0,0.8,1.0,5,0.004827521157580994,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,1.0,0.8,5.0,1,0.004799184140154437,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,1.0,0.8,5.0,5,0.004799184140154437,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,1.0,0.8,10.0,1,0.004758014027275636,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,1.0,0.8,10.0,5,0.004758014027275636,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,1.0,1.0,1.0,1,0.004827521157580994,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,1.0,1.0,1.0,5,0.004827521157580994,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,1.0,1.0,5.0,1,0.004794128028721183,2,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,1.0,1.0,5.0,5,0.004794128028721183,2,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,1.0,1.0,10.0,1,0.004758014027275636,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,1.0,1.0,10.0,5,0.004758014027275636,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,5,0.8,0.8,1.0,1,0.0048181326760592105,2,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,5,0.8,0.8,1.0,5,0.0048377982062581424,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,5,0.8,0.8,5.0,1,0.00480436565004448,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,5,0.8,0.8,5.0,5,0.00480752230170644,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,5,0.8,0.8,10.0,1,0.0047701768344895834,2,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,5,0.8,0.8,10.0,5,0.004783964087448035,2,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,5,0.8,1.0,1.0,1,0.0048181326760592105,2,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,5,0.8,1.0,1.0,5,0.0048377982062581424,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,5,0.8,1.0,5.0,1,0.004804171765353373,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,5,0.8,1.0,5.0,5,0.004807328417015335,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,5,0.8,1.0,10.0,1,0.004782017977961285,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
