horizon,scheme,fold,use_categoricals,cat_n_trees,cat_depth,best_n_est,learning_rate,depth,cat_mvs_fraction,rsm,l2_leaf_reg,min_data_in_leaf,val_mse,best_n_estimators,selected
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,1.0,1.0,1.0,1,0.8015184715296212,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,1.0,1.0,1.0,5,0.8015184715296212,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,1.0,1.0,5.0,1,0.8015028993681681,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,1.0,1.0,5.0,5,0.8015028993681681,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,1.0,1.0,10.0,1,0.801483603513072,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,1.0,1.0,10.0,5,0.801483603513072,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.1,4,0.8,0.8,1.0,1,0.8120770053064816,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.1,4,0.8,0.8,1.0,5,0.8120770053064816,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.1,4,0.8,0.8,5.0,1,0.8120608150908973,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.1,4,0.8,0.8,5.0,5,0.8120608150908973,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.1,4,0.8,0.8,10.0,1,0.8120406312298175,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.1,4,0.8,0.8,10.0,5,0.8120406312298175,1,False
