security,horizon,scheme,fold,use_categoricals,importance_type,feature,relevance,bucket,ntrees,depth,tau_w
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,hy_spread,0.0,credit,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,ig_chg_1m,0.0,credit,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,hy_chg_1m,0.0,credit,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,cpi_yoy,0.11233301034966024,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,pce_core_chg,1.2026486983282982,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,nfp_change,0.17746561366112287,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,pmi_us,4.1078993457608775,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,pmi_eur,1.1703427300479152,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,unemp_eur,0.0,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,cpi_nsa_level,0.0,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,pce_core_level,0.0,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,eur_3m,1.5408633668875118,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,eur_1w,0.9423015193839467,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,nor_ibor_1m,0.7086605762818327,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,nor_ibor_6m,0.09884002938087655,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,xmpca_01,0.1569036172103708,cross_market,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,xmpca_02,0.25346626883428675,cross_market,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,xmpca_03,0.06464894930880144,cross_market,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,xmpca_04,1.0436613130382861,cross_market,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,xmpca_05,1.4409997814047866,cross_market,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,xmpca_06,1.3277505278685824,cross_market,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,xmpca_07,1.8225760136171216,cross_market,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,xmpca_08,0.5562071711092493,cross_market,60,6,
